Process,Ecosystem Service,Rating,Justification
Large-scale forestry,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Pollination,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Soil quality,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale forestry,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale irrigated arable crops,Animal-based energy,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale irrigated arable crops,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale irrigated arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Dilution by atmosphere and ecosystems,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale irrigated arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale irrigated arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale irrigated arable crops,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale irrigated arable crops,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale irrigated arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale irrigated arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale irrigated arable crops,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Large-scale irrigated arable crops,Ventilation,L,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale irrigated arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale irrigated arable crops,Water quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale livestock (beef and dairy),Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale livestock (beef and dairy),Buffering and attenuation of mass flows,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale livestock (beef and dairy),Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Disease control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale livestock (beef and dairy),Fibres and other materials,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale livestock (beef and dairy),Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale livestock (beef and dairy),Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Large-scale livestock (beef and dairy),Genetic materials,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale livestock (beef and dairy),Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Large-scale livestock (beef and dairy),Pollination,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Soil quality,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale livestock (beef and dairy),Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale livestock (beef and dairy),Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale livestock (beef and dairy),Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale livestock (beef and dairy),Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Large-scale rainfed arable crops,Animal-based energy,VL,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Large-scale rainfed arable crops,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale rainfed arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Dilution by atmosphere and ecosystems,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale rainfed arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale rainfed arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Large-scale rainfed arable crops,Flood and storm protection,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Large-scale rainfed arable crops,Mass stabilisation and erosion control,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Large-scale rainfed arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale rainfed arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Large-scale rainfed arable crops,Surface water,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Large-scale rainfed arable crops,Ventilation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Large-scale rainfed arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Large-scale rainfed arable crops,Water quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Leisure facility provision,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Leisure facility provision,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Leisure facility provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Leisure facility provision,Surface water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Leisure facility provision,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech manufacture",Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech manufacture",Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech manufacture",Genetic materials,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Life science, pharma and biotech manufacture",Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Life science, pharma and biotech manufacture",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Life science, pharma and biotech manufacture",Surface water,H,Ecosystem service is critical and irreplaceable in production process 
"Life science, pharma and biotech manufacture",Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Life science, pharma and biotech manufacture",Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech tools and services",Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Life science, pharma and biotech tools and services",Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Life science, pharma and biotech tools and services",Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Managed health care,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
"Manufacture of machinery, parts and equipment",Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Mediation of sensory impacts,M,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Manufacture of machinery, parts and equipment",Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Manufacture of machinery, parts and equipment",Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Manufacture of semiconductor equipment,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Marine ports and services,Ground water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Marine ports and services,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Marine ports and services,Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Marine ports and services,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine ports and services,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Marine transportation,Climate regulation,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Marine transportation,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Marine transportation,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine transportation,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Marine transportation,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Membrane technology,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Membrane technology,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Membrane technology,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Water flow maintenance,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Membrane technology,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Metal processing,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Mass stabilisation and erosion control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Metal processing,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Metal processing,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Mining,Climate regulation,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Mining,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Mining,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Mining,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Mining,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Natural fibre production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Natural fibre production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural fibre production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Natural fibre production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Natural fibre production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Natural fibre production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Natural fibre production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural fibre production,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Natural gas combustion,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Natural gas combustion,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Natural gas combustion,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural gas combustion,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Natural gas combustion,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Natural gas combustion,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Nuclear and thermal power stations,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Nuclear and thermal power stations,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Nuclear and thermal power stations,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Nuclear and thermal power stations,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Nuclear and thermal power stations,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Nuclear and thermal power stations,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Flood and storm protection,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Ground water,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas drilling,Surface water,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas exploration surveys,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Oil and gas exploration surveys,Flood and storm protection,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas exploration surveys,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas refining,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas refining,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas services,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas storage,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas storage,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Oil and gas storage,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Oil and gas transportation,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas transportation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Oil and gas transportation,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption 
Paper packaging production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Paper packaging production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Polymerization,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Polymerization,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Polymerization,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Polymerization,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Processed food and drink production,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Processed food and drink production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Processed food and drink production,Soil quality,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Processed food and drink production,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Processed food and drink production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Processed food and drink production,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of forest and wood-based products,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Production of forest and wood-based products,Ground water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of forest and wood-based products,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Production of forest and wood-based products,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of forest and wood-based products,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of leisure or personal products,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Production of leisure or personal products,Fibres and other materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of leisure or personal products,Ground water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of leisure or personal products,Surface water,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of paper products,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Production of paper products,Fibres and other materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Production of paper products,Ground water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of paper products,Surface water,VH,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Production of paper products,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Provision of health care,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Provision of health care,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Provision of health care,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Railway transportation,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Railway transportation,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Railway transportation,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Railway transportation,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Railway transportation,Pest control,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Railway transportation,Surface water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Railway transportation,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Flood and storm protection,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Ground water,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Real estate activities,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Real estate activities,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Real estate activities,Surface water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Real estate investment,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Recovery and separation of carbon dioxide,Bio-remediation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Climate regulation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Dilution by atmosphere and ecosystems,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Filtration,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Recovery and separation of carbon dioxide,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Recovery and separation of carbon dioxide,Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Ventilation,VL,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Water flow maintenance,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Recovery and separation of carbon dioxide,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
